,Name,Status,Link,Speakers,Glottocode,Country
124,Akajeru,Critically endangered,https://en.wal.unesco.org/,N/A,N/A,N/A
125,Akajeru,Critically endangered,https://en.wal.unesco.org/languages/akajeru,9,akaj1239,N/A
126,Akakede,Not in use,https://en.wal.unesco.org/languages/akakede,0,akak1252,N/A
127,Akakol,Not in use,https://en.wal.unesco.org/languages/akakol,0,akak1253,N/A
128,Akakora,Not in use,https://en.wal.unesco.org/languages/akakora,0,akak1251,N/A
129,Akan,Potentially vulnerable,https://en.wal.unesco.org/languages/akan,9999999,akan1250,Ghana
130,Akarbale,Not in use,https://en.wal.unesco.org/languages/akarbale,0,akar1243,N/A
131,Akaselem,Endangered/unsafe,https://en.wal.unesco.org/languages/akaselem,99999,akas1242,N/A
132,Akateko,Definitely endangered,https://en.wal.unesco.org/languages/akateko,99999,west2635,Mexico
133,Akawaio,Endangered/unsafe,https://en.wal.unesco.org/languages/akawaio,9999,akaw1239,Guyana
134,Ake,Endangered/unsafe,https://en.wal.unesco.org/languages/ake,9999,akee1238,N/A
135,Akebu,Endangered/unsafe,https://en.wal.unesco.org/languages/akebu,99999,akeb1238,N/A
136,Akei,Endangered/unsafe,https://en.wal.unesco.org/languages/akei,999,akei1237,N/A
137,Akeu,Definitely endangered,https://en.wal.unesco.org/languages/akeu,99999,akeu1235,Myanmar
138,Akha,Potentially vulnerable,https://en.wal.unesco.org/languages/akha,999999,akha1245,Myanmar
139,Akhvakh,Definitely endangered,https://en.wal.unesco.org/languages/akhvakh,999,akhv1239,N/A
140,Akie,Not in use,https://en.wal.unesco.org/languages/akie,0,mosi1247,N/A
141,Akkadian,Not in use,https://en.wal.unesco.org/languages/akkadian,0,akka1240,N/A
142,Akkala Saami,Not in use,https://en.wal.unesco.org/languages/akkala-saami,0,akka1237,N/A
143,Aklanon,Potentially vulnerable,https://en.wal.unesco.org/languages/aklanon,999999,akla1241,Philippines
144,Akolet,Endangered/unsafe,https://en.wal.unesco.org/languages/akolet,999,akol1237,N/A
145,Akoose,Endangered/unsafe,https://en.wal.unesco.org/languages/akoose,99999,akoo1248,Cameroon
146,Akoye,Definitely endangered,https://en.wal.unesco.org/languages/akoye,999,akoy1238,N/A
147,Akpa,Potentially vulnerable,https://en.wal.unesco.org/languages/akpa,999999,akpa1238,N/A
148,Akpes,Definitely endangered,https://en.wal.unesco.org/languages/akpes,9999,akpe1248,N/A
149,Akpondu,Not in use,https://en.wal.unesco.org/languages/akpondu,0,akpo1243,N/A
150,Akuku,Endangered/unsafe,https://en.wal.unesco.org/languages/akuku,N/A,akuk1235,N/A
151,Akum,Definitely endangered,https://en.wal.unesco.org/languages/akum,9999,akum1238,Cameroon
152,Akuntsu,Critically endangered,https://en.wal.unesco.org/languages/akuntsu,9,akun1241,N/A
153,Akurio,Not in use,https://en.wal.unesco.org/languages/akurio,0,akur1238,N/A
154,Akwa,Definitely endangered,https://en.wal.unesco.org/languages/akwa,99999,akwa1248,N/A
155,Al-Sayyid Bedouin Sign Language,Definitely endangered,https://en.wal.unesco.org/,N/A,N/A,N/A
156,Al-Sayyid Bedouin Sign Language,Definitely endangered,https://en.wal.unesco.org/languages/al-sayyid-bedouin-sign-language,9999,alsa1242,N/A
157,Alaba-K'abeena,Potentially vulnerable,https://en.wal.unesco.org/languages/alaba-kabeena,999999,alab1254,N/A
158,Alabama,Definitely endangered,https://en.wal.unesco.org/languages/alabama,999,alab1237,N/A
159,Alabat Island Agta,Critically endangered,https://en.wal.unesco.org/languages/alabat-island-agta,99,alab1246,Philippines
160,Alacalufe-Austral,Not in use,https://en.wal.unesco.org/languages/alacalufe-austral,0,alac1239,N/A
161,Alacalufe-Central,Not in use,https://en.wal.unesco.org/languages/alacalufe-central,0,alac1240,N/A
162,Alacatlatzala Mixtec,Endangered/unsafe,https://en.wal.unesco.org/languages/alacatlatzala-mixtec,99999,alac1244,N/A
163,Alago,Endangered/unsafe,https://en.wal.unesco.org/languages/alago,99999,alag1242,N/A
164,Alagwa,Definitely endangered,https://en.wal.unesco.org/languages/alagwa,99999,alag1248,N/A
165,Alak,Endangered/unsafe,https://en.wal.unesco.org/languages/alak,9999,alak1253,N/A
166,Alamblak,Definitely endangered,https://en.wal.unesco.org/languages/alamblak,9999,alam1246,N/A
167,Alamuti,Definitely endangered,https://en.wal.unesco.org/languages/alamuti,9,goza1238,N/A
168,Alangan,Definitely endangered,https://en.wal.unesco.org/languages/alangan,9999,alan1249,Philippines
169,Alapmunte,Not in use,https://en.wal.unesco.org/languages/alapmunte,0,alap1235,N/A
170,Alaskan Inupiaq,Severely endangered,https://en.wal.unesco.org/languages/alaskan-inupiaq,9999,N/A,N/A
171,Alawa,Critically endangered,https://en.wal.unesco.org/languages/alawa,9,alaw1244,N/A
172,Albanian,Safe,https://en.wal.unesco.org/languages/albanian,9999999,N/A,Albania
173,Albanian Sign Language,Endangered/unsafe,https://en.wal.unesco.org/languages/albanian-sign-language,9999,alba1271,N/A
174,Alcozauca Mixtec,Endangered/unsafe,https://en.wal.unesco.org/languages/alcozauca-mixtec,9999,alco1235,N/A
175,Ale,Definitely endangered,https://en.wal.unesco.org/languages/ale,99,wail1242,N/A
176,Ale-Gawwada,Endangered/unsafe,https://en.wal.unesco.org/languages/ale-gawwada,99999,gaww1239,N/A
177,Alege,Endangered/unsafe,https://en.wal.unesco.org/languages/alege,99999,aleg1238,N/A
178,Alekano,Endangered/unsafe,https://en.wal.unesco.org/languages/alekano,99999,alek1238,N/A
179,Aleut,Definitely endangered,https://en.wal.unesco.org/languages/aleut,999,aleu1260,N/A
180,Algerian Arabic,Potentially vulnerable,https://en.wal.unesco.org/languages/algerian-arabic,99999999,alge1239,Algeria
181,Algerian Saharan Arabic,Potentially vulnerable,https://en.wal.unesco.org/languages/algerian-saharan-arabic,999999,alge1240,Algeria
182,Algerian Sign Language,Potentially vulnerable,https://en.wal.unesco.org/languages/algerian-sign-language,999999,alge1235,Algeria
183,Algonquin,Endangered/unsafe,https://en.wal.unesco.org/languages/algonquin,9999,algo1255,N/A
184,Ali,Endangered/unsafe,https://en.wal.unesco.org/languages/ali,99999,alii1240,N/A
185,Alipur Sign Language,Definitely endangered,https://en.wal.unesco.org/languages/alipur-sign-language,999,alip1234,N/A
186,Alladian,Endangered/unsafe,https://en.wal.unesco.org/,N/A,N/A,N/A
187,Alladian,Endangered/unsafe,https://en.wal.unesco.org/languages/alladian,99999,alla1248,Benin
188,Allar,Definitely endangered,https://en.wal.unesco.org/languages/allar,999,alla1247,N/A
189,Allentiac,Not in use,https://en.wal.unesco.org/languages/allentiac,0,alle1238,Argentina
190,Alngith,Not in use,https://en.wal.unesco.org/languages/alngith,0,alng1239,N/A
191,Alo Phola,Endangered/unsafe,https://en.wal.unesco.org/languages/alo-phola,999,alop1235,N/A
192,Aloápam Zapotec,Endangered/unsafe,https://en.wal.unesco.org/languages/aloapam-zapotec,9999,aloa1235,N/A
193,Alor,Endangered/unsafe,https://en.wal.unesco.org/languages/alor,99999,alor1247,N/A
194,Alorese,Endangered/unsafe,https://en.wal.unesco.org/languages/alorese,99999,alor1247,N/A
195,Alsea-Yaquina,Not in use,https://en.wal.unesco.org/languages/alsea-yaquina,0,alse1251,N/A
196,Alu Kurumba,Definitely endangered,https://en.wal.unesco.org/languages/alu-kurumba,9999,aluk1238,N/A
197,Alu-Sinagen,Definitely endangered,https://en.wal.unesco.org/languages/alu-sinagen,9999,diaa1238,N/A
198,Alugu,Endangered/unsafe,https://en.wal.unesco.org/languages/alugu,9999,alug1235,N/A
199,Alumu-Tesu,Endangered/unsafe,https://en.wal.unesco.org/languages/alumu-tesu,9999,alum1246,N/A
200,Alune,Endangered/unsafe,https://en.wal.unesco.org/languages/alune,99999,alun1238,N/A
201,Aluo,Definitely endangered,https://en.wal.unesco.org/languages/aluo,99999,aluo1235,N/A
202,Alur,Potentially vulnerable,https://en.wal.unesco.org/languages/alur,9999999,alur1250,N/A
203,Alutor,Severely endangered,https://en.wal.unesco.org/languages/alutor,99,alut1245,Russian Federation
204,Alviri-Vidari,Severely endangered,https://en.wal.unesco.org/languages/alviri-vidari,99,alvi1241,N/A
205,Alyawarr,Endangered/unsafe,https://en.wal.unesco.org/languages/alyawarr,9999,alya1239,N/A
206,Ama (Papua New Guinea),Endangered/unsafe,https://en.wal.unesco.org/languages/ama-papua-new-guinea,999,amap1240,N/A
207,Ama (Sudan),Endangered/unsafe,https://en.wal.unesco.org/languages/ama-sudan,99999,amas1236,Sudan
208,Amahai,Critically endangered,https://en.wal.unesco.org/languages/amahai,99,amah1245,N/A
209,Amahuaca,Severely endangered,https://en.wal.unesco.org/languages/amahuaca,999,amah1246,Peru
210,Amaimon,Endangered/unsafe,https://en.wal.unesco.org/languages/amaimon,9999,amai1246,N/A
211,Amal,Definitely endangered,https://en.wal.unesco.org/languages/amal,999,amal1242,N/A
212,Amam,Endangered/unsafe,https://en.wal.unesco.org/languages/amam,N/A,amam1246,N/A
213,Amami O Shima Sign Language,Critically endangered,https://en.wal.unesco.org/languages/amami-o-shima-sign-language,N/A,amam1247,N/A
214,Amanab,Definitely endangered,https://en.wal.unesco.org/languages/amanab,9999,aman1265,N/A
215,Amanayé,Not in use,https://en.wal.unesco.org/languages/amanaye,0,aman1266,N/A
216,Amara,Definitely endangered,https://en.wal.unesco.org/languages/amara,999,amar1272,N/A
217,Amarakaeri,Definitely endangered,https://en.wal.unesco.org/,N/A,N/A,N/A
218,Amarakaeri,Definitely endangered,https://en.wal.unesco.org/languages/amarakaeri,9999,amar1274,N/A
219,Amarasi,Endangered/unsafe,https://en.wal.unesco.org/languages/amarasi,99999,amar1273,N/A
220,Amatlán Zapotec,Endangered/unsafe,https://en.wal.unesco.org/languages/amatlan-zapotec,9999,amat1238,N/A
221,Amba (Solomon Islands),Endangered/unsafe,https://en.wal.unesco.org/languages/amba-solomon-islands,999,amba1266,N/A
222,Amba (Uganda),Endangered/unsafe,https://en.wal.unesco.org/languages/amba-uganda,99999,amba1263,N/A
223,Ambai,Definitely endangered,https://en.wal.unesco.org/languages/ambai,9999,amba1265,N/A
224,Ambakich,Definitely endangered,https://en.wal.unesco.org/languages/ambakich,999,amba1269,N/A
225,Ambala Ayta,Definitely endangered,https://en.wal.unesco.org/languages/ambala-ayta,9999,amba1267,Philippines
226,Ambelau,Endangered/unsafe,https://en.wal.unesco.org/languages/ambelau,9999,ambe1248,N/A
227,Ambele,Endangered/unsafe,https://en.wal.unesco.org/languages/ambele,9999,ambe1247,Cameroon
228,Ambermo,Not in use,https://en.wal.unesco.org/languages/ambermo,0,ambe1246,N/A
229,Amblong,Definitely endangered,https://en.wal.unesco.org/languages/amblong,999,ambl1237,N/A
230,Ambo,Definitely endangered,https://en.wal.unesco.org/languages/ambo,999,ambo1249,Zambia
231,Ambo-Pasco Quechua,Endangered/unsafe,https://en.wal.unesco.org/languages/ambo-pasco-quechua,99999,ambo1252,N/A
232,Ambonese Malay,Potentially vulnerable,https://en.wal.unesco.org/languages/ambonese-malay,999999,ambo1250,N/A
233,Ambrak,Definitely endangered,https://en.wal.unesco.org/languages/ambrak,999,ambr1239,N/A
234,Ambulas,Endangered/unsafe,https://en.wal.unesco.org/languages/ambulas,99999,ambu1247,N/A
235,Amdang,Definitely endangered,https://en.wal.unesco.org/languages/amdang,99999,amda1238,N/A
236,Amdo Tibetan,Potentially vulnerable,https://en.wal.unesco.org/languages/amdo-tibetan,9999999,amdo1237,N/A
237,Amele,Definitely endangered,https://en.wal.unesco.org/languages/amele,9999,amel1241,N/A
238,American Indian Pidgin English,Not in use,https://en.wal.unesco.org/languages/american-indian-pidgin-english,0,amer1255,N/A
239,American Sign Language,Potentially vulnerable,https://en.wal.unesco.org/languages/american-sign-language,999999,amer1248,Benin
240,Amganad Ifugao,Endangered/unsafe,https://en.wal.unesco.org/languages/amganad-ifugao,99999,amga1235,N/A
241,Amharic,Safe,https://en.wal.unesco.org/languages/amharic,99999999,amha1245,N/A
242,Ami,Critically endangered,https://en.wal.unesco.org/languages/ami,99,amii1238,N/A
243,Amis Gaoshan,Potentially vulnerable,https://en.wal.unesco.org/languages/amis-gaoshan,999999,amis1246,N/A
244,Amkoe,Severely endangered,https://en.wal.unesco.org/languages/amkoe,99,hoaa1235,N/A
245,Amo,Endangered/unsafe,https://en.wal.unesco.org/languages/amo,99999,amoo1242,N/A
246,Amoltepec Mixtec,Endangered/unsafe,https://en.wal.unesco.org/languages/amoltepec-mixtec,9999,amol1236,N/A
247,Amorite,Not in use,https://en.wal.unesco.org/languages/amorite,0,amor1239,N/A
248,Amotomanco,Not in use,https://en.wal.unesco.org/,N/A,N/A,N/A
249,Amotomanco,Not in use,https://en.wal.unesco.org/languages/amotomanco,0,amot1239,N/A
250,Ampanang,Endangered/unsafe,https://en.wal.unesco.org/languages/ampanang,99999,ampa1239,N/A
251,Ampari Dogon,Definitely endangered,https://en.wal.unesco.org/languages/ampari-dogon,9999,ampa1238,N/A
252,Amri Karbi,Definitely endangered,https://en.wal.unesco.org/languages/amri-karbi,999999,amri1238,N/A
253,Amto,Definitely endangered,https://en.wal.unesco.org/languages/amto,999,amto1250,N/A
254,Amundava,Endangered/unsafe,https://en.wal.unesco.org/languages/amundava,99,amun1246,N/A
255,Amur Nivkh,Severely endangered,https://en.wal.unesco.org/languages/amur-nivkh,999,gily1242,Russian Federation
256,Amurdak,Critically endangered,https://en.wal.unesco.org/languages/amurdak,9,amar1271,N/A
257,Amuzgo,Endangered/unsafe,https://en.wal.unesco.org/languages/amuzgo,99999,N/A,N/A
258,Ana Tinga Dogon,Definitely endangered,https://en.wal.unesco.org/languages/ana-tinga-dogon,999,anat1248,N/A
259,Anaang,Potentially vulnerable,https://en.wal.unesco.org/languages/anaang,9999999,anaa1238,N/A
260,Anakalangu,Potentially vulnerable,https://en.wal.unesco.org/languages/anakalangu,999999,anak1240,N/A
261,Anal,Definitely endangered,https://en.wal.unesco.org/languages/anal,99999,anal1239,India
262,Anam,Definitely endangered,https://en.wal.unesco.org/languages/anam,9999,anam1247,N/A
263,Anambé,Not in use,https://en.wal.unesco.org/languages/anambe,0,anam1249,N/A
264,Anamuxra,Endangered/unsafe,https://en.wal.unesco.org/languages/anamuxra,9999,anam1248,N/A
265,Anauyá,Not in use,https://en.wal.unesco.org/languages/anauya,0,anau1243,N/A
266,Ancient Greek,Not in use,https://en.wal.unesco.org/languages/ancient-greek,0,anci1242,N/A
267,Ancient Hebrew,Not in use,https://en.wal.unesco.org/languages/ancient-hebrew,0,anci1244,N/A
268,Ancient Ligurian,Not in use,https://en.wal.unesco.org/languages/ancient-ligurian,0,anci1248,N/A
269,Ancient North Arabian,Not in use,https://en.wal.unesco.org/languages/ancient-north-arabian,0,anci1245,N/A
270,Andai,Definitely endangered,https://en.wal.unesco.org/languages/andai,999,anda1283,N/A
271,Andalusian Arabic,Not in use,https://en.wal.unesco.org/languages/andalusian-arabic,0,anda1287,N/A
272,Andaman Creole Hindi,Endangered/unsafe,https://en.wal.unesco.org/languages/andaman-creole-hindi,9999,anda1280,N/A
273,Andaqui,Not in use,https://en.wal.unesco.org/languages/andaqui,0,anda1286,Colombia
274,Andarum,Definitely endangered,https://en.wal.unesco.org/languages/andarum,9999,anda1284,N/A
